experiment,city,source_city,target_city,model,model_type,seed,split_type,feature_set,target_scaling,rmse,mae,nrmse,r2,notes
cross_city_zero_shot,,Davis,Santa Barbara,gradient_boosting,classical,2026,chronological_80_20,primary,none_raw_kW,126.04405326341463,117.00422025150385,1.7070257923169332,-49.3996751981285,genuine zero-shot: zero target-city rows used in training or preprocessing fitting
cross_city_zero_shot,,Davis,Santa Barbara,oracle_target_mean_baseline,baseline,2026,chronological_80_20,primary,target_city_own_mean,17.777456114321787,14.364335114231947,0.24076166485625078,-0.002587410647762578,"NOT a legitimate zero-shot method - uses target city's own historical mean, shown only for comparison per Section 23"
cross_city_zero_shot,,Davis,Santa Barbara,gradient_boosting_scale_corrected_DIAGNOSTIC,diagnostic,2026,chronological_80_20,primary,diagnostic_mean_ratio_rescale,11.967291156726802,8.821866043178769,0.16207408552632238,0.5456665307232604,"DIAGNOSTIC ONLY, NOT a legitimate zero-shot method - rescales predictions using the target city's own mean, to isolate whether the failure is scale mismatch vs. poor pattern-matching"
cross_city_zero_shot,,Davis,La Jolla,gradient_boosting,classical,2026,chronological_80_20,primary,none_raw_kW,125.58208514544316,117.01642000296239,1.8319404876551486,-73.36656234152309,genuine zero-shot: zero target-city rows used in training or preprocessing fitting
cross_city_zero_shot,,Davis,La Jolla,oracle_target_mean_baseline,baseline,2026,chronological_80_20,primary,target_city_own_mean,14.630037349631701,11.448295902945395,0.21341704691124763,-0.009283553868380867,"NOT a legitimate zero-shot method - uses target city's own historical mean, shown only for comparison per Section 23"
cross_city_zero_shot,,Davis,La Jolla,gradient_boosting_scale_corrected_DIAGNOSTIC,diagnostic,2026,chronological_80_20,primary,diagnostic_mean_ratio_rescale,7.832548223083173,6.10245998855348,0.11425803445419311,0.7107132904777369,"DIAGNOSTIC ONLY, NOT a legitimate zero-shot method - rescales predictions using the target city's own mean, to isolate whether the failure is scale mismatch vs. poor pattern-matching"
3yr_vs_6yr,Davis,Davis,,gradient_boosting_3yr,classical,42,chronological_80_20,primary,none,12.045666080565912,6.319955829035219,0.04793822539345341,0.9681689246772859,"trained on Davis 3yr sheet, split_info=9644/2412"
3yr_vs_6yr,Davis,Davis,,gradient_boosting_3yr,classical,123,chronological_80_20,primary,none,12.027057778698763,6.3099996875789115,0.04786416979842609,0.9682671948336777,"trained on Davis 3yr sheet, split_info=9644/2412"
3yr_vs_6yr,Davis,Davis,,gradient_boosting_3yr,classical,2026,chronological_80_20,primary,none,12.044042026942174,6.317333748501743,0.047931762135369954,0.9681775073306605,"trained on Davis 3yr sheet, split_info=9644/2412"
3yr_vs_6yr,Davis,Davis,,gradient_boosting_6yr,classical,42,chronological_80_20,primary,none,15.166063871704658,8.311423071632234,0.05999590114802959,0.9528307072252507,"trained on Davis 6yr sheet, split_info=19289/4823"
3yr_vs_6yr,Davis,Davis,,gradient_boosting_6yr,classical,123,chronological_80_20,primary,none,15.165972272451388,8.309101095678384,0.05999553878771046,0.9528312770051203,"trained on Davis 6yr sheet, split_info=19289/4823"
3yr_vs_6yr,Davis,Davis,,gradient_boosting_6yr,classical,2026,chronological_80_20,primary,none,15.165993300373218,8.310681210373392,0.059995621972716816,0.9528311462042867,"trained on Davis 6yr sheet, split_info=19289/4823"
sequence,Davis,Davis,,persistence_baseline,baseline,42,chronological_80_20,k=12_window,none,21.966971104861987,15.043752484350337,0.08689982211164622,0.9012586197887489,predicts next Output Power = most recent observed value
sequence,Davis,Davis,,persistence_baseline,baseline,123,chronological_80_20,k=12_window,none,21.966971104861987,15.043752484350337,0.08689982211164622,0.9012586197887489,predicts next Output Power = most recent observed value
sequence,Davis,Davis,,persistence_baseline,baseline,2026,chronological_80_20,k=12_window,none,21.966971104861987,15.043752484350337,0.08689982211164622,0.9012586197887489,predicts next Output Power = most recent observed value
sequence,Davis,Davis,,gru,neural_network,42,chronological_80_20,k=12_window,none,17.635345968872134,10.123060222376758,0.06976421192783984,0.936360493371984,epochs_run=24
sequence,Davis,Davis,,gru,neural_network,123,chronological_80_20,k=12_window,none,17.642285755219188,10.17650576545701,0.06979166524382834,0.9363103972210994,epochs_run=26
sequence,Davis,Davis,,gru,neural_network,2026,chronological_80_20,k=12_window,none,17.46073197171835,9.814253890819149,0.06907345100233797,0.9376144903095995,epochs_run=24
sequence,Davis,Davis,,gru_tuned,neural_network,42,chronological_80_20,k=12_window,none,17.492224356476605,10.138729880144036,0.06919803270367039,0.9373892488675502,"{""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.1, ""lr"": 0.001}"
sequence,Davis,Davis,,gru_tuned,neural_network,123,chronological_80_20,k=12_window,none,17.55490087194116,10.227959198258915,0.06944597667457325,0.9369397629601377,"{""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.1, ""lr"": 0.001}"
sequence,Davis,Davis,,gru_tuned,neural_network,2026,chronological_80_20,k=12_window,none,17.72669636868806,10.22169646976941,0.07012558780692381,0.9356994855050369,"{""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.1, ""lr"": 0.001}"
